Year,Country,HDI
1990,Albania,0.645
1991,Albania,0.626
1992,Albania,0.61
1993,Albania,0.613
1994,Albania,0.619
1995,Albania,0.632
1996,Albania,0.641
1997,Albania,0.641
1998,Albania,0.652
1999,Albania,0.662
2000,Albania,0.669
2001,Albania,0.676
2002,Albania,0.682
2003,Albania,0.689
2004,Albania,0.694
2005,Albania,0.704
2006,Albania,0.711
2007,Albania,0.72
2008,Albania,0.724
2009,Albania,0.729
2010,Albania,0.741
2011,Albania,0.752
2012,Albania,0.767
2013,Albania,0.771
2014,Albania,0.773
2015,Albania,0.776
2016,Albania,0.782
2017,Albania,0.785
2005,Antigua and Barbuda,0.766
2006,Antigua and Barbuda,0.772
2007,Antigua and Barbuda,0.778
2008,Antigua and Barbuda,0.777
2009,Antigua and Barbuda,0.77
2010,Antigua and Barbuda,0.766
2011,Antigua and Barbuda,0.762
2012,Antigua and Barbuda,0.765
2013,Antigua and Barbuda,0.768
2014,Antigua and Barbuda,0.77
2015,Antigua and Barbuda,0.775
2016,Antigua and Barbuda,0.778
2017,Antigua and Barbuda,0.78
