"Sex, age, race, and Hispanic origin",1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"All ages, age-adjusted2/",8.2,8.3,9.0,10.6,11.5,11.8,12.8,14.8,14.9,14.9,14.8,15.0,16.1,16.1,17.0,18.3,20.8,26.2,29.1
"All ages, crude",8.2,8.4,9.0,10.6,11.5,11.9,12.9,14.9,15.1,15.0,15.0,15.2,16.3,16.3,17.2,18.4,20.8,26.1,29.0
Under 15 years,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
15–24 years,4.5,5.3,6.1,7.3,8.8,9.6,10.0,12.0,12.0,11.9,11.3,11.6,12.4,11.4,11.7,12.1,13.3,17.5,17.1
25–34 years,11.5,11.3,12.0,14.7,15.7,16.6,18.7,22.7,23.4,23.6,24.0,25.0,27.5,27.0,28.6,31.9,37.9,48.9,54.3
35–44 years,19.2,19.5,20.6,23.4,24.3,23.8,24.4,27.5,26.7,25.6,25.2,24.9,26.8,27.1,28.1,30.8,36.3,46.9,53.0
45–54 years,15.2,15.7,17.0,20.3,22.6,23.8,25.8,29.7,29.2,29.6,29.1,28.5,30.4,30.4,31.5,32.9,35.3,42.5,48.3
55–64 years,4.9,4.4,5.3,6.8,7.8,8.6,10.6,12.3,14.0,14.8,16.0,17.3,18.5,19.4,22.7,23.5,26.2,32.2,36.2
65–74 years,2.7,2.1,2.7,2.8,2.9,2.9,3.3,3.5,4.4,4.8,4.8,4.5,5.4,6.2,6.9,7.3,8.5,10.0,11.8
75–84 years,2.5,2.5,2.6,3.1,2.9,2.8,3.4,3.2,3.2,3.2,3.5,3.6,3.4,3.2,3.7,3.8,3.9,3.7,3.7
85 years and over,4.4,5.9,3.6,5.7,4.8,4.8,5.2,4.7,4.9,4.4,5.2,5.1,4.3,5.3,5.9,4.3,5.0,4.6,4.5
