Year,"Total,
16 years
and older",Total 16 to 24,16 to 19 years,20 to 24 years,Total 25 and older,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and older
1979,64.1,81.8,95.0,75.9,58.3,63.3,55.8,54.1,56.9,87.6
1980,64.8,84.1,93.2,77.0,58.7,64.1,54.9,54.4,56.4,89.2
1981,65.1,86.1,96.7,80.0,60.3,66.7,57.5,54.1,56.2,88.1
1982,67.3,86.3,97.0,81.8,62.1,67.7,57.1,55.7,59.0,88.1
1983,69.4,87.2,96.7,84.4,62.9,70.3,57.6,56.7,58.0,87.6
1984,69.8,86.0,96.5,84.5,63.7,71.1,59.0,56.9,59.5,89.0
1985,70.0,85.7,96.3,87.2,64.7,72.4,60.3,57.8,60.4,88.8
1986,70.2,85.8,95.5,86.7,66.0,74.1,61.4,59.0,60.3,91.3
1987,72.1,85.9,93.9,86.1,67.2,74.3,62.9,61.3,62.0,91.2
1988,73.8,89.1,94.4,87.2,68.7,75.6,66.1,61.6,62.4,92.8
1989,75.4,90.7,93.4,86.9,69.8,78.0,67.0,63.4,63.8,87.1
1990,77.9,91.0,93.8,90.1,71.8,79.4,68.7,64.3,66.2,89.6
1991,78.6,91.0,97.9,91.7,73.5,80.4,70.4,65.0,68.9,92.6
1992,80.3,91.3,97.7,92.5,76.0,82.6,73.1,66.1,69.3,92.6
1993,80.4,91.7,97.1,94.2,77.3,83.6,73.1,67.3,69.0,92.1
1994,80.6,90.5,97.0,91.2,78.2,85.5,73.4,69.9,70.7,94.0
1995,80.8,90.9,96.1,89.3,76.1,83.7,72.6,70.8,71.4,94.2
1996,81.2,92.1,97.0,89.6,78.2,83.1,74.6,72.1,72.4,91.6
1997,80.8,92.2,96.6,91.2,78.8,82.7,75.7,72.3,70.5,98.1
1998,81.8,90.3,96.7,89.1,77.9,86.1,77.4,75.0,72.4,93.2
1999,83.8,92.7,96.8,89.9,79.4,83.9,76.9,72.7,76.4,95.4
2000,83.8,91.7,93.8,93.0,80.8,88.3,76.3,73.2,76.8,94.7
2001,85.2,90.5,95.8,89.7,79.2,85.8,75.0,76.1,80.2,90.4
2002,85.0,92.5,96.9,91.3,82.1,85.1,78.7,77.6,80.8,89.3
2003,84.8,93.2,97.6,91.0,83.1,87.5,79.1,79.0,78.4,90.3
2004,84.6,93.9,95.9,91.7,81.7,88.3,78.4,79.1,79.6,92.5
2005,84.8,92.6,96.0,92.4,83.2,89.2,79.6,80.2,80.2,97.8
2006,84.0,90.9,95.7,90.5,83.2,87.6,80.0,76.4,80.6,93.0
2007,84.8,89.3,95.4,90.4,81.7,87.4,81.5,79.6,79.2,92.2
2008,85.4,91.2,96.6,91.6,83.0,87.0,80.5,78.2,81.8,91.6
2009,85.5,93.1,97.1,92.0,84.7,90.6,80.7,77.0,84.5,92.6
2010,86.0,93.6,97.8,91.7,85.6,91.9,82.9,79.9,83.2,93.8
2011,86.8,94.6,97.5,92.5,86.7,92.0,83.8,81.5,82.2,91.5
2012,86.4,93.0,97.9,92.0,86.8,91.5,83.9,81.2,83.1,90.9
2013,86.6,92.3,96.7,94.0,87.5,91.1,84.9,81.2,84.1,94.9
2014,84.6,92.4,96.1,96.3,85.7,87.0,84.6,81.2,81.3,89.2
2015,85.6,95.1,97.5,93.5,87.8,91.0,85.7,84.3,82.1,89.5
2016,87.0,97.7,95.7,91.9,87.6,88.2,85.8,83.0,83.7,88.1
2017,89.2,93.5,97.1,92.6,87.2,92.4,83.4,80.9,81.8,93.0
2018,87.8,93.1,97.6,95.9,84.7,92.2,82.5,80.0,79.9,92.4
