,Occupation,Percentage of Women in Field,Percentage of Men's Earnings Estimate
0,Total,43.05508429,80.2
1,"Management, Business, Science, and Arts Occupations",49.00455809,72.3
2,"Management, Business, and Financial Occupations",43.49613437,75.5
3,Management Occupations,38.78448224,76.1
4,Chief executives,23.81072737,73.39342915
5,General and operations managers,29.48351629,74.63473494
6,Legislators,46.79220965,94.87602814
7,Advertising and promotions managers,58.71243837,76.8562957
8,Marketing and sales managers,44.89535931,68.98449125
9,Public relations and fundraising managers,67.32262671,89.57817559
10,Administrative services managers,39.49322368,86.2282914
11,Computer and information systems managers,26.82564051,89.00671253
12,Financial managers,52.57819096,61.77702602
13,Compensation and benefits managers,75.08492445,
14,Human resources managers,61.07307357,90.80722409
15,Training and development managers,52.04363491,78.51004952
16,Industrial production managers,20.00880765,90.69529652
17,Purchasing managers,47.89385120000001,85.07538848
18,"Transportation, storage, and distribution managers",18.00901281,104.7364196
19,"Farmers, ranchers, and other agricultural managers",11.22276833,72.06684048
20,Construction managers,7.836197122000001,86.52565119
21,Education administrators,62.28926068,80.25503857
22,Architectural and engineering managers,8.877717316,99.96546431
23,Food service managers,44.90802932,74.78932419
24,Funeral service managers,27.21088435,
25,Gaming managers,34.55450023,93.30792037
26,Lodging managers,52.68760226,79.85956632
27,Medical and health services managers,70.98456187,76.57110788
28,Natural sciences managers,52.7573119,68.65503457
29,Postmasters and mail superintendents,45.58648016,93.5691496
30,"Property, real estate, and community association managers",49.09554251,75.09264204
31,Social and community service managers,69.27555701,76.6859683
32,Emergency management directors,22.46714129,
33,"Managers, all other",34.22114819,80.10520095
34,Business and Financial Operations Occupations,54.02943312,76.9
35,"Agents and business managers of artists, performers, and athletes",48.02171761,91.74558994
36,"Buyers and purchasing agents, farm products",28.36433611,
37,"Wholesale and retail buyers, except farm products",49.17602648,100.0600788
38,"Purchasing agents, except wholesale, retail, and farm products",51.75333147,84.68508763
39,"Claims adjusters, appraisers, examiners, and investigators",61.07719941,82.22222222
40,Compliance officers,52.63669459,88.22171532
41,Cost estimators,14.0728315,75.60519717
42,Human resources workers,72.20879317,82.77871469
43,"Compensation, benefits, and job analysis specialists",77.63349869,81.92920523
44,Training and development specialists,54.82242168,80.29143452
45,Logisticians,33.97654439,90.92390419
46,Management analysts,41.36967931,83.73240904
47,"Meeting, convention, and event planners",74.97016056,110.5127665
48,Fundraisers,69.80358992,83.2689866
49,Market research analysts and marketing specialists,56.26983055,77.99672985
50,"Business operations specialists, all other",53.21386751,71.90264881
51,Accountants and auditors,59.69159344,75.35893024
52,Appraisers and assessors of real estate,31.59316054,80.72650807
53,Budget analysts,61.98302287,91.45346755
54,Credit analysts,52.28185884,87.86568694
55,Financial analysts,39.56456611,78.78179887
56,Personal financial advisors,29.321228,68.36196548
57,Insurance underwriters,62.37142799,76.93932333
58,Financial examiners,47.15770996,82.46233218
59,Credit counselors and loan officers,54.80903662,65.6247555
60,"Tax examiners and collectors, and revenue agents",62.49321854,81.66791154
61,Tax preparers,57.18029824,68.59995144
62,"Financial specialists, all other",51.79598458,59.60550695
63,"Computer, Engineering, and Science Occupations",23.78071871,85.1
64,Computer and Mathematical Occupations,24.67809303,84.8
65,Computer and information research scientists,19.52334512,
66,Computer systems analysts,40.43539843,84.99506996
67,Information security analysts,19.24483317,91.91546281
68,Computer programmers,20.83009457,92.4928788
69,"Software developers, applications and systems software",18.29849172,87.04508233
70,Web developers,32.913914,84.41712691
71,Computer support specialists,24.35716375,87.30348061
72,Database administrators,37.43197928,67.03985719
73,Network and computer systems administrators,18.35376223,92.29731895
74,Computer network architects,6.856749074,102.392915
75,"Computer occupations, all other",21.82717576,93.54398695
76,Actuaries,29.47969996,73.72574025
77,Mathematicians,19.64285714,
78,Operations research analysts,49.67831859,88.42417544
79,Statisticians,44.36158335,97.10364744
80,Miscellaneous mathematical science occupations,46.85958566,
81,Architecture and Engineering Occupations,14.04162996,86.5
82,"Architects, except naval",23.87159829,76.18254702
83,"Surveyors, cartographers, and photogrammetrists",17.53618433,
84,Aerospace engineers,10.7388914,88.33126867
85,Agricultural engineers,8.350202429,
86,Biomedical engineers,15.48352325,
87,Chemical engineers,19.24167993,82.79082125
88,Civil engineers,12.63926535,84.12203815
89,Computer hardware engineers,12.122952,
90,Electrical and electronics engineers,7.880717884,82.44007214
91,Environmental engineers,27.60961092,92.33140844
92,"Industrial engineers, including health and safety",20.86104076,94.11362761
93,Marine engineers and naval architects,10.52829833,
94,Materials engineers,8.442944502000001,
95,Mechanical engineers,6.963950501,99.40499426
96,"Mining and geological engineers, including mining safety engineers",13.47775176,
97,Nuclear engineers,16.60388293,
98,Petroleum engineers,14.503109699999998,
99,"Engineers, all other",12.71001257,89.75990926
100,Drafters,16.40041713,92.76662369
101,"Engineering technicians, except drafters",17.62467109,83.13827779
102,Surveying and mapping technicians,6.712177055,
103,"Life, Physical, and Social Science Occupations",43.74649395,86.4
104,Agricultural and food scientists,35.71191503,90.59941316
105,Biological scientists,44.87413801,87.30229416
106,Conservation scientists and foresters,22.75294763,
107,Medical scientists,53.10767911,88.05844582
108,"Life scientists, all other",40.06316812,
109,Astronomers and physicists,22.38639814,
110,Atmospheric and space scientists,14.22735877,
111,Chemists and materials scientists,36.36576088,84.08256333
112,Environmental scientists and geoscientists,32.49066179,76.07941573
113,"Physical scientists, all other",40.11631536,75.64555742
114,Economists,30.27084196,93.01343329
115,Survey researchers,70.88781831,
116,Psychologists,69.06889168,76.31863643
117,Urban and regional planners,40.63548995,87.50569446
118,"Miscellaneous social scientists and related workers, including sociologists",46.92477334,84.60158624
119,Agricultural and food science technicians,40.13300564,84.66487381
120,Biological technicians,48.19314258,88.71373403
121,Chemical technicians,28.63890309,88.49138402
122,Geological and petroleum technicians,22.84805999,
123,Nuclear technicians,8.391608392,
124,Social science research assistants,87.28961114,
125,"Miscellaneous life, physical, and social science technicians",45.59824559,91.816517
126,"Education, Legal, Community Service, Arts, and Media Occupations",62.28830072,78.5
127,Community and Social Service Occupations,64.06638889999999,93.4
128,Counselors,72.21362056,97.25145314
129,Social workers,80.97180882,99.17728415
130,Probation officers and correctional treatment specialists,53.66185113,99.71205265
131,Social and human service assistants,77.58889177,94.90863935
132,"Miscellaneous community and social service specialists, including health educators and community health workers",66.00534684,86.15340944
133,Clergy,16.06790935,89.82109675
134,"Directors, religious activities and education",55.10534487,78.66153105
135,"Religious workers, all other",53.347663600000004,86.51130509
136,Legal Occupations,51.43288224,53.4
137,Lawyers,36.18699837,75.33206413
138,Judicial law clerks,66.19199845,
139,"Judges, magistrates, and other judicial workers",43.65605357,64.60890214
140,Paralegals and legal assistants,86.42159646,95.68071873
141,Miscellaneous legal support workers,73.07153541,69.92280955
142,"Education, Training, and Library Occupations",71.07697192,81.6
143,Postsecondary teachers,46.57166036,82.12257502
144,Preschool and kindergarten teachers,98.01134607,85.9769088
145,Elementary and middle school teachers,77.86190636,94.20860328
146,Secondary school teachers,56.89473841,92.4874552
147,Special education teachers,85.60436721,97.49764779
148,Other teachers and instructors,53.08254436,78.8195727
149,"Archivists, curators, and museum technicians",61.69608384,85.73104949
150,Librarians,79.80638882,87.42257725
151,Library technicians,80.3706306,
152,Teacher assistants,87.32984318,71.12963976
153,"Other education, training, and library workers",70.94127285,86.66711423
154,"Arts, Design, Entertainment, Sports, and Media Occupations",43.20383382,87.1
155,Artists and related workers,37.16155735,71.45870832
156,Designers,47.76605472,77.48146914
157,Actors,42.77196145,
158,Producers and directors,36.23390356,87.22774075
159,"Athletes, coaches, umpires, and related workers",26.01109267,83.96402995
160,Dancers and choreographers,77.60829774,
161,"Musicians, singers, and related workers",22.31839351,97.29775294
162,"Entertainers and performers, sports and related workers, all other",35.94542974,
163,Announcers,23.98669318,
164,"News analysts, reporters and correspondents",44.10684941,86.27709256
165,Public relations specialists,65.3467259,79.81093418
166,Editors,48.86232225,90.31128067
167,Technical writers,58.20945946,95.03929539
168,Writers and authors,56.6196544,90.1524154
169,Miscellaneous media and communication workers,61.28608195,86.53377584
170,"Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators",6.284778126,
171,Photographers,39.87466982,75.72138098
172,"Television, video, and motion picture camera operators and editors",18.07535372,
173,Healthcare Practitioners and Technical Occupations,72.45510178,72.1
174,Chiropractors,22.22412109,66.4333726
175,Dentists,29.25804446,72.71141616
176,Dietitians and nutritionists,88.55490676,105.1582032
177,Optometrists,33.34193263,80.48514212
178,Pharmacists,54.56222486,96.82062263
179,Physicians and surgeons,34.11902075,71.8987123
180,Physician assistants,63.33894604,89.93579469
181,Podiatrists,15.64089939,
182,Audiologists,80.47342564,
183,Occupational therapists,86.38954771,86.65165648
184,Physical therapists,62.98481567,87.55828019
185,Radiation therapists,67.64387605,
186,Recreational therapists,69.76377953,
187,Respiratory therapists,59.47028494,85.80776762
188,Speech-language pathologists,94.66967053,
189,"Miscellaneous therapists, including exercise physiologists",76.57634257,93.7799318
190,Veterinarians,59.09843914,79.35380518
191,Registered nurses,87.87275733,90.78391025
192,Nurse anesthetists,58.32476288,85.70839243
193,Nurse midwives,100.0,
194,Nurse practitioners,87.83809376,90.01169801
195,"Health diagnosing and treating practitioners, all other",58.81332931,
196,Clinical laboratory technologists and technicians,71.91472533,91.92361872
197,Dental hygienists,93.22358667,
198,Diagnostic related technologists and technicians,66.43484404,86.67596035
199,Emergency medical technicians and paramedics,31.69709829,86.2637956
200,Health practitioner support technologists and technicians,77.57094191,88.91751863
201,Licensed practical and licensed vocational nurses,87.13565637,94.09853685
202,Medical records and health information technicians,89.92731049,103.2143625
203,"Opticians, dispensing",70.96307323,69.25447434
204,Miscellaneous health technologists and technicians,61.96531554,71.28213154
205,Other healthcare practitioners and technical occupations,43.94332695,84.87283759
206,Service Occupations,49.83588853,77.4
