Occupation,"Number
of
workers","Median
weekly
earnings",Standard error of median,"Number
of
workers","Median
weekly
earnings",Standard error of median,"Number
of
workers","Median
weekly
earnings",Standard error of median,Percentage of Men's
"Total, full-time wage and salary workers","115,567",$886,$2,"51,425",$789,$3,"64,142",$973,$3,81.1
"Management, professional, and related occupations","48,808","1,246",4,"25,123","1,078",6,"23,685","1,468",8,73.4
"Management, business, and financial operations occupations","19,863","1,355",6,"9,195","1,168",8,"10,668","1,537",10,76.0
Management occupations,"13,477","1,429",10,"5,724","1,236",11,"7,754","1,585",16,78.0
Chief executives,"1,098","2,291",23,307,"1,736",96,790,"2,488",90,69.8
General and operations managers,939,"1,338",32,283,"1,139",23,656,"1,427",39,79.8
Legislators,14,–,–,4,–,–,10,–,–,–
Advertising and promotions managers,39,–,–,16,–,–,23,–,–,–
Marketing and sales managers,963,"1,567",38,447,"1,362",34,517,"1,852",75,73.5
Public relations and fundraising managers,61,"1,415",52,43,–,–,18,–,–,–
Administrative services managers,147,"1,215",74,46,–,–,101,"1,266",123,–
Computer and information systems managers,601,"1,877",39,153,"1,727",222,448,"1,920",98,89.9
Financial managers,"1,158","1,466",38,663,"1,262",32,495,"1,784",69,70.7
Compensation and benefits managers,21,–,–,16,–,–,5,–,–,–
Human resources managers,294,"1,381",49,221,"1,330",66,73,"1,761",79,75.5
Training and development managers,52,"1,448",106,31,–,–,21,–,–,–
Industrial production managers,243,"1,465",47,55,"1,296",155,188,"1,573",95,82.4
Purchasing managers,222,"1,362",73,99,"1,229",82,123,"1,431",46,85.9
"Transportation, storage, and distribution managers",269,"1,131",28,43,–,–,226,"1,138",30,–
"Farmers, ranchers, and other agricultural managers",119,945,47,21,–,–,99,"1,010",134,–
Construction managers,625,"1,431",37,53,"1,202",23,572,"1,467",38,81.9
Education administrators,857,"1,381",41,563,"1,245",33,294,"1,563",50,79.7
Architectural and engineering managers,149,"2,226",192,19,–,–,131,"2,285",43,–
Food service managers,827,809,27,407,708,26,420,922,39,76.8
Funeral service managers,0,–,–,0,–,–,0,–,–,–
Gaming managers,23,–,–,8,–,–,15,–,–,–
Lodging managers,112,955,52,64,920,99,48,–,–,–
Medical and health services managers,567,"1,408",33,418,"1,331",45,149,"1,729",140,77.0
Natural sciences managers,8,–,–,4,–,–,4,–,–,–
Postmasters and mail superintendents,22,–,–,15,–,–,8,–,–,–
