Year,"Total,
16 years
and older",White,Black or African American,Asian,Hispanic or Latino ethnicity
1979,64.1,62.5,72.6,–,71.8
1980,64.8,63.6,74.9,–,75.1
1981,65.1,63.8,72.1,–,76.4
1982,67.3,66.0,75.2,–,75.6
1983,69.4,68.0,79.2,–,76.1
1984,69.8,68.6,79.1,–,77.0
1985,70.0,67.8,82.0,–,79.4
1986,70.2,68.8,78.7,–,80.8
1987,72.1,70.9,80.1,–,80.2
1988,73.8,72.7,80.8,–,81.1
1989,75.4,74.0,83.2,–,83.0
1990,77.9,75.6,84.5,–,86.1
1991,78.6,76.6,86.5,–,86.9
1992,80.3,78.6,87.1,–,88.3
1993,80.4,78.9,89.6,–,88.6
1994,80.6,79.7,87.5,–,89.3
1995,80.8,78.4,87.3,–,90.9
1996,81.2,79.6,88.0,–,88.8
1997,80.8,80.3,87.5,–,86.3
1998,81.8,81.8,86.9,–,87.6
1999,83.8,82.3,83.2,–,86.6
2000,83.8,83.0,88.8,90.5,87.3
2001,85.2,83.8,89.9,85.1,85.6
2002,85.0,83.8,92.3,91.7,86.1
2003,84.8,84.0,91.7,89.8,88.5
2004,84.6,84.0,91.3,88.8,90.2
2005,84.8,84.2,91.1,91.3,90.1
2006,84.0,83.6,88.5,90.7,87.6
2007,84.8,83.7,90.3,89.5,88.5
2008,85.4,84.5,89.9,87.3,85.1
2009,85.5,84.8,89.7,90.4,84.6
2010,86.0,85.0,92.1,88.0,86.2
2011,86.8,85.9,93.5,89.8,86.8
2012,86.4,85.3,92.0,90.1,85.4
2013,86.6,85.7,94.9,91.6,87.5
2014,84.6,83.3,94.8,90.2,86.6
2015,85.6,85.9,92.4,92.8,85.8
2016,87.0,87.2,92.6,93.6,85.2
2017,89.2,87.8,94.1,85.5,84.1
2018,87.8,86.3,91.6,89.6,85.3
