Year,Percentage,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and older,Total 16 to 24,Total 25 and older,"Total,
16 years
and older"
1979,62.3,0,0,0,0,0,0,0,0,0,1
1979,78.6,0,0,0,0,0,0,0,1,0,0
1979,85.2,1,0,0,0,0,0,0,0,0,0
1979,76.3,0,1,0,0,0,0,0,0,0,0
1979,62.1,0,0,0,0,0,0,0,0,1,1
1979,67.5,0,0,1,0,0,0,0,1,0,0
1979,58.3,1,0,0,1,0,0,0,0,0,0
1979,56.8,0,1,0,0,1,0,0,0,0,0
1979,60.6,0,0,0,0,0,1,0,0,1,1
1979,77.6,0,0,1,0,0,0,1,1,0,0
1980,64.2,1,0,0,1,0,0,0,0,0,0
1980,80.3,0,1,0,0,1,0,0,0,0,0
1980,89.5,0,0,0,0,0,1,0,0,1,1
1980,78.1,0,0,1,0,0,0,1,1,0,0
1980,62.8,1,0,0,1,0,0,0,0,0,0
1980,69.4,0,1,0,0,1,0,0,0,0,0
1980,58.3,0,0,0,0,0,1,0,0,1,1
1980,56.9,0,0,1,0,0,0,1,1,0,0
1980,59.4,1,0,0,1,0,0,0,0,0,0
1980,76.4,0,1,0,0,1,0,0,0,0,0
1981,64.4,0,0,0,0,0,1,0,0,1,1
1981,82.6,0,0,1,0,0,0,1,1,0,0
1981,91.7,1,0,0,1,0,0,0,0,0,0
1981,80.6,0,1,0,0,1,0,0,0,0,0
1981,62.6,0,0,0,0,0,1,0,0,1,1
1981,70.3,0,0,1,0,0,0,1,1,0,0
1981,59.9,1,0,0,1,0,0,0,0,0,0
1981,56.8,0,1,0,0,1,0,0,0,0,0
1981,58.9,0,0,0,0,0,1,0,0,1,1
1981,71.1,0,0,1,0,0,0,1,1,0,0
1982,65.7,1,0,0,1,0,0,0,0,0,0
1982,85.3,0,1,0,0,1,0,0,0,0,0
1982,92.9,0,0,0,0,0,1,0,0,1,1
1982,82.4,0,0,1,0,0,0,1,1,0,0
1982,64.9,1,0,0,1,0,0,0,0,0,0
1982,72.1,0,1,0,0,1,0,0,0,0,0
1982,61.1,0,0,0,0,0,1,0,0,1,1
1982,60.1,0,0,1,0,0,0,1,1,0,0
1982,61.4,1,0,0,1,0,0,0,0,0,0
1982,70.3,0,1,0,0,1,0,0,0,0,0
1983,66.5,0,0,0,0,0,1,0,0,1,1
1983,88.8,0,0,1,0,0,0,1,1,0,0
1983,94.0,1,0,0,1,0,0,0,0,0,0
1983,85.5,0,1,0,0,1,0,0,0,0,0
1983,65.8,0,0,0,0,0,1,0,0,1,1
1983,73.3,0,0,1,0,0,0,1,1,0,0
1983,61.5,1,0,0,1,0,0,0,0,0,0
1983,59.5,0,1,0,0,1,0,0,0,0,0
1983,61.8,0,0,0,0,0,1,0,0,1,1
1983,68.8,0,0,1,0,0,0,1,1,0,0
1984,67.6,1,0,0,1,0,0,0,0,0,0
1984,87.9,0,1,0,0,1,0,0,0,0,0
1984,93.1,0,0,0,0,0,1,0,0,1,1
1984,85.2,0,0,1,0,0,0,1,1,0,0
1984,67.1,1,0,0,1,0,0,0,0,0,0
1984,74.6,0,1,0,0,1,0,0,0,0,0
1984,62.0,0,0,0,0,0,1,0,0,1,1
1984,59.4,0,0,1,0,0,0,1,1,0,0
1984,61.5,1,0,0,1,0,0,0,0,0,0
1984,66.8,0,1,0,0,1,0,0,0,0,0
1985,68.1,0,0,0,0,0,1,0,0,1,1
1985,87.6,0,0,1,0,0,0,1,1,0,0
1985,90.7,1,0,0,1,0,0,0,0,0,0
1985,85.7,0,1,0,0,1,0,0,0,0,0
1985,66.8,0,0,0,0,0,1,0,0,1,1
1985,75.1,0,0,1,0,0,0,1,1,0,0
1985,63.0,1,0,0,1,0,0,0,0,0,0
1985,59.7,0,1,0,0,1,0,0,0,0,0
1985,61.0,0,0,0,0,0,1,0,0,1,1
1985,65.9,0,0,1,0,0,0,1,1,0,0
1986,69.5,1,0,0,1,0,0,0,0,0,0
1986,89.0,0,1,0,0,1,0,0,0,0,0
1986,91.4,0,0,0,0,0,1,0,0,1,1
